,dropoff_census_tract,dropoff_community_area,dropoff_latitude,dropoff_longitude,pickup_census_tract,pickup_community_area,pickup_latitude,pickup_longitude,time,trip_miles,trip_seconds
127,,34.0,41.842076117,-87.633973422,,8.0,41.899602111,-87.633308037,2,4.82,704.0
128,275.0,24.0,41.899422254,-87.684490122,,32.0,41.884987192,-87.620992913,0,0.0,1140.0
129,,7.0,41.922686284,-87.649488729,,4.0,41.975170943,-87.687515515,2,3.7,960.0
130,,14.0,41.968069,-87.721559063,,6.0,41.944226601,-87.655998182,0,3.3,720.0
131,952.0,7.0,41.921854911,-87.646210977,,8.0,41.892042136,-87.63186395,2,2.6,720.0
132,792.0,8.0,41.89321636,-87.63784421,,32.0,41.884987192,-87.620992913,1,1.49,417.0
133,911.0,8.0,41.890922026,-87.618868355,,28.0,41.88528132,-87.6572332,1,2.0,660.0
134,,3.0,41.96581197,-87.655878786,,7.0,41.922686284,-87.649488729,3,2.6,720.0
135,792.0,8.0,41.89321636,-87.63784421,,8.0,41.899155613,-87.626210532,1,1.4,540.0
136,911.0,8.0,41.890922026,-87.618868355,,8.0,41.89321636,-87.63784421,2,0.0,480.0
137,886.0,6.0,41.942577185,-87.647078509,,8.0,41.892042136,-87.63186395,2,4.8,1140.0
138,307.0,32.0,41.877406123,-87.621971652,,8.0,41.89321636,-87.63784421,0,1.36,366.0
139,380.0,8.0,41.904935302,-87.649907226,,8.0,41.892507781,-87.626214906,7,1.3,360.0
140,,3.0,41.96581197,-87.655878786,,24.0,41.901206994,-87.676355989,1,7.3,960.0
141,930.0,32.0,41.87101588,-87.631406525,,32.0,41.880994471,-87.632746489,1,0.0,360.0
142,,3.0,41.96581197,-87.655878786,,77.0,41.9867118,-87.663416405,1,0.1,360.0
143,140.0,8.0,41.900221297,-87.629105186,,8.0,41.899155613,-87.626210532,2,0.5,360.0
144,534.0,8.0,41.90749193,-87.63576009,,24.0,41.908378669,-87.670945075,0,1.7,480.0
145,,3.0,41.96581197,-87.655878786,,6.0,41.944226601,-87.655998182,8,1.8,540.0
146,,5.0,41.947791586,-87.683834942,,22.0,41.92276062,-87.699155343,3,2.0,420.0
147,,6.0,41.944226601,-87.655998182,,8.0,41.899602111,-87.633308037,1,5.9,1080.0
148,807.0,28.0,41.879255084,-87.642648998,,8.0,41.900265687,-87.63210922,3,1.6,480.0
149,16.0,32.0,41.880994471,-87.632746489,,8.0,41.892042136,-87.63186395,3,1.09,360.0
150,886.0,6.0,41.942577185,-87.647078509,,32.0,41.880994471,-87.632746489,6,5.8,840.0
151,40.0,28.0,41.885300022,-87.642808466,,8.0,41.892072635,-87.628874157,0,1.3,360.0
152,959.0,8.0,41.89503345,-87.619710672,,8.0,41.899155613,-87.626210532,0,0.8,360.0
153,334.0,8.0,41.899155613,-87.626210532,,24.0,41.892658108,-87.652534484,2,1.5,540.0
154,,22.0,41.92276062,-87.699155343,,6.0,41.944226601,-87.655998182,3,0.1,720.0
155,899.0,8.0,41.892072635,-87.628874157,,32.0,41.880994471,-87.632746489,3,1.5,480.0
156,,7.0,41.922686284,-87.649488729,,28.0,41.874005383,-87.66351755,0,2.0,540.0
157,930.0,32.0,41.87101588,-87.631406525,,6.0,41.952822916,-87.653243992,4,0.5,1320.0
158,,1.0,42.009622881,-87.670166857,,24.0,41.901206994,-87.676355989,0,9.8,1380.0
159,982.0,7.0,41.914616286,-87.631717366,,8.0,41.892042136,-87.63186395,1,1.74,480.0
160,,41.0,41.794090253,-87.592310855,,32.0,41.878865584,-87.625192142,4,0.0,1140.0
161,215.0,6.0,41.949829346,-87.64396537,,8.0,41.892507781,-87.626214906,2,4.7,780.0
162,807.0,28.0,41.879255084,-87.642648998,,8.0,41.890922026,-87.618868355,9,1.9,420.0
163,,8.0,41.899602111,-87.633308037,,6.0,41.944226601,-87.655998182,0,0.0,1260.0
164,607.0,8.0,41.900265687,-87.63210922,,8.0,41.892042136,-87.63186395,3,0.0,360.0
165,334.0,8.0,41.899155613,-87.626210532,,7.0,41.914616286,-87.631717366,5,1.6,540.0
166,,28.0,41.874005383,-87.66351755,,7.0,41.922686284,-87.649488729,3,0.0,840.0
167,,7.0,41.922686284,-87.649488729,,6.0,41.944226601,-87.655998182,2,0.0,360.0
168,534.0,8.0,41.90749193,-87.63576009,,8.0,41.899155613,-87.626210532,0,0.8,360.0
169,792.0,8.0,41.89321636,-87.63784421,,8.0,41.892072635,-87.628874157,7,0.0,480.0
170,959.0,8.0,41.89503345,-87.619710672,,8.0,41.898331794,-87.620762865,2,1.1,360.0
171,792.0,8.0,41.89321636,-87.63784421,,32.0,41.884987192,-87.620992913,0,0.0,420.0
172,1046.0,33.0,41.859349715,-87.617358006,,8.0,41.899155613,-87.626210532,4,0.0,780.0
173,16.0,32.0,41.880994471,-87.632746489,,7.0,41.914747305,-87.654007029,5,3.0,780.0
174,911.0,8.0,41.890922026,-87.618868355,,32.0,41.880994471,-87.632746489,3,0.0,420.0
175,,31.0,41.850266366,-87.667569312,,24.0,41.901206994,-87.676355989,1,3.3,660.0
176,926.0,24.0,41.899737388,-87.664953917,,24.0,41.906025969,-87.675311622,5,0.9,360.0
177,,6.0,41.944226601,-87.655998182,,8.0,41.899602111,-87.633308037,1,5.61,900.0
178,792.0,8.0,41.89321636,-87.63784421,,8.0,41.900221297,-87.629105186,3,1.2,360.0
179,787.0,8.0,41.898331794,-87.620762865,,32.0,41.877406123,-87.621971652,1,1.9,480.0
180,607.0,8.0,41.900265687,-87.63210922,,28.0,41.88528132,-87.6572332,5,0.1,900.0
181,512.0,7.0,41.914747305,-87.654007029,,8.0,41.892072635,-87.628874157,1,0.1,660.0
182,,1.0,42.009622881,-87.670166857,,32.0,41.878865584,-87.625192142,2,10.5,1440.0
183,504.0,32.0,41.884987192,-87.620992913,,8.0,41.898331794,-87.620762865,1,1.2,420.0
184,,16.0,41.953582125,-87.72345239,,24.0,41.901206994,-87.676355989,3,7.03,805.0
185,,6.0,41.944226601,-87.655998182,,8.0,41.899602111,-87.633308037,4,5.1,1080.0
186,534.0,8.0,41.90749193,-87.63576009,,32.0,41.884987192,-87.620992913,1,2.0,480.0
187,,6.0,41.944226601,-87.655998182,,8.0,41.899602111,-87.633308037,1,4.1,540.0
188,,5.0,41.947791586,-87.683834942,,6.0,41.944226601,-87.655998182,2,1.0,360.0
189,,39.0,41.808916283,-87.596183344,,32.0,41.878865584,-87.625192142,2,6.0,720.0
190,178.0,6.0,41.936237179,-87.656411531,,8.0,41.90749193,-87.63576009,5,3.12,660.0
191,,7.0,41.922686284,-87.649488729,,6.0,41.944226601,-87.655998182,3,1.7,480.0
192,,1.0,42.009622881,-87.670166857,,77.0,41.9867118,-87.663416405,4,0.0,420.0
193,,4.0,41.975170943,-87.687515515,,8.0,41.899602111,-87.633308037,4,8.6,1260.0
194,,6.0,41.944226601,-87.655998182,,22.0,41.92276062,-87.699155343,0,4.4,1080.0
195,,24.0,41.901206994,-87.676355989,,7.0,41.922686284,-87.649488729,0,2.4,540.0
196,,24.0,41.901206994,-87.676355989,,7.0,41.922686284,-87.649488729,5,0.0,1140.0
197,807.0,28.0,41.879255084,-87.642648998,,8.0,41.891971508,-87.612945414,0,2.3,480.0
198,522.0,7.0,41.929046937,-87.651310877,,32.0,41.880994471,-87.632746489,8,0.3,1020.0
199,871.0,7.0,41.928967266,-87.656156831,,7.0,41.914616286,-87.631717366,0,3.2,540.0
200,970.0,8.0,41.892507781,-87.626214906,,32.0,41.880994471,-87.632746489,2,0.0,360.0
201,,24.0,41.901206994,-87.676355989,,32.0,41.878865584,-87.625192142,1,0.2,600.0
202,334.0,8.0,41.899155613,-87.626210532,,6.0,41.943237122,-87.643470956,0,3.8,540.0
203,982.0,7.0,41.914616286,-87.631717366,,32.0,41.880994471,-87.632746489,2,2.2,540.0
204,,8.0,41.899602111,-87.633308037,,28.0,41.874005383,-87.66351755,4,3.34,1140.0
205,,28.0,41.874005383,-87.66351755,,32.0,41.878865584,-87.625192142,1,0.0,540.0
206,225.0,8.0,41.892042136,-87.63186395,,32.0,41.884987192,-87.620992913,1,0.0,480.0
207,,24.0,41.901206994,-87.676355989,,23.0,41.900069603,-87.720918238,1,1.9,360.0
208,854.0,33.0,41.861280847,-87.630580061,,8.0,41.899155613,-87.626210532,1,0.0,900.0
209,134.0,24.0,41.89830587,-87.653613982,,6.0,41.942691844,-87.651770507,4,3.7,900.0
210,,4.0,41.975170943,-87.687515515,,32.0,41.878865584,-87.625192142,0,0.4,1260.0
211,16.0,32.0,41.880994471,-87.632746489,,8.0,41.90749193,-87.63576009,2,2.3,720.0
212,791.0,24.0,41.908378669,-87.670945075,,6.0,41.942691844,-87.651770507,1,3.4,840.0
213,1046.0,33.0,41.859349715,-87.617358006,,32.0,41.877406123,-87.621971652,1,0.0,600.0
214,,41.0,41.794090253,-87.592310855,,32.0,41.878865584,-87.625192142,2,0.5,1200.0
215,534.0,8.0,41.90749193,-87.63576009,,8.0,41.89321636,-87.63784421,1,0.1,600.0
216,342.0,7.0,41.921778188,-87.651061884,,6.0,41.946294536,-87.654298084,1,0.1,600.0
217,,23.0,41.900069603,-87.720918238,,28.0,41.874005383,-87.66351755,1,0.0,660.0
218,952.0,7.0,41.921854911,-87.646210977,,8.0,41.892507781,-87.626214906,1,0.0,660.0
219,680.0,6.0,41.946294536,-87.654298084,,8.0,41.898331794,-87.620762865,3,4.7,780.0
220,982.0,7.0,41.914616286,-87.631717366,,8.0,41.89503345,-87.619710672,3,2.0,480.0
221,,6.0,41.944226601,-87.655998182,,8.0,41.899602111,-87.633308037,1,0.0,960.0
222,787.0,8.0,41.898331794,-87.620762865,,8.0,41.892042136,-87.63186395,0,1.2,840.0
223,886.0,6.0,41.942577185,-87.647078509,,6.0,41.936159071,-87.661265218,2,1.2,480.0
224,,7.0,41.922686284,-87.649488729,,8.0,41.899602111,-87.633308037,0,3.9,1380.0
225,178.0,6.0,41.936237179,-87.656411531,,8.0,41.890922026,-87.618868355,2,5.3,960.0
226,,77.0,41.9867118,-87.663416405,,8.0,41.899602111,-87.633308037,3,6.3,660.0
