,dropoff_census_tract,dropoff_community_area,dropoff_latitude,dropoff_longitude,pickup_census_tract,pickup_community_area,pickup_latitude,pickup_longitude,time,trip_miles,trip_seconds
218,,3.0,41.96581197,-87.655878786,,22.0,41.92276062,-87.699155343,2,4.3,960.0
219,,14.0,41.968069,-87.721559063,,3.0,41.96581197,-87.655878786,3,0.1,480.0
220,,7.0,41.922686284,-87.649488729,,8.0,41.899602111,-87.633308037,0,0.0,720.0
221,,15.0,41.954027649,-87.763399032,,32.0,41.878865584,-87.625192142,16,10.8,1080.0
222,313.0,76.0,41.97907082,-87.903039661,,32.0,41.880994471,-87.632746489,2,17.6,1440.0
223,26.0,3.0,41.972929317,-87.650290074,,6.0,41.942691844,-87.651770507,6,2.7,540.0
224,,23.0,41.900069603,-87.720918238,,24.0,41.901206994,-87.676355989,11,2.3,600.0
225,,28.0,41.874005383,-87.66351755,,7.0,41.922686284,-87.649488729,8,3.7,720.0
226,,22.0,41.92276062,-87.699155343,,6.0,41.944226601,-87.655998182,0,3.9,960.0
227,,24.0,41.901206994,-87.676355989,,33.0,41.857183858,-87.620334624,7,4.5,840.0
228,,31.0,41.850266366,-87.667569312,,33.0,41.857183858,-87.620334624,4,2.2,420.0
229,,3.0,41.96581197,-87.655878786,,6.0,41.944226601,-87.655998182,33,0.1,480.0
230,,6.0,41.944226601,-87.655998182,,7.0,41.922686284,-87.649488729,1,1.9,540.0
231,,31.0,41.850266366,-87.667569312,,8.0,41.899602111,-87.633308037,9,3.2,420.0
232,,28.0,41.874005383,-87.66351755,,8.0,41.899602111,-87.633308037,8,1.1,360.0
233,,24.0,41.901206994,-87.676355989,,6.0,41.944226601,-87.655998182,1,3.5,720.0
234,,40.0,41.792357223,-87.61793138,,32.0,41.878865584,-87.625192142,7,7.1,780.0
235,,33.0,41.857183858,-87.620334624,,8.0,41.899602111,-87.633308037,2,3.74,764.0
236,342.0,7.0,41.921778188,-87.651061884,,8.0,41.892042136,-87.63186395,1,3.2,780.0
237,,28.0,41.874005383,-87.66351755,,8.0,41.899602111,-87.633308037,0,2.1,480.0
238,,18.0,41.929297368,-87.798032181,,24.0,41.901206994,-87.676355989,16,7.5,1920.0
239,,32.0,41.878865584,-87.625192142,,31.0,41.850266366,-87.667569312,3,2.2,480.0
240,,2.0,42.001571027,-87.695012589,,14.0,41.968069,-87.721559063,1,5.3,1020.0
241,140.0,8.0,41.900221297,-87.629105186,,8.0,41.892507781,-87.626214906,27,0.0,480.0
242,,8.0,41.899602111,-87.633308037,,7.0,41.922686284,-87.649488729,11,0.1,480.0
243,308.0,6.0,41.936310131,-87.651562592,,7.0,41.929046937,-87.651310877,2,2.5,840.0
244,,22.0,41.92276062,-87.699155343,,24.0,41.901206994,-87.676355989,7,1.8,420.0
245,,21.0,41.938666196,-87.711210593,,14.0,41.968069,-87.721559063,16,0.1,480.0
246,,24.0,41.901206994,-87.676355989,,8.0,41.899602111,-87.633308037,2,3.8,780.0
247,,28.0,41.874005383,-87.66351755,,8.0,41.899602111,-87.633308037,9,4.5,1080.0
248,,22.0,41.92276062,-87.699155343,,8.0,41.899602111,-87.633308037,19,0.3,1020.0
249,930.0,32.0,41.87101588,-87.631406525,,8.0,41.899155613,-87.626210532,15,2.1,720.0
250,,14.0,41.968069,-87.721559063,,1.0,42.009622881,-87.670166857,21,4.2,780.0
251,,22.0,41.92276062,-87.699155343,,8.0,41.899602111,-87.633308037,1,4.9,660.0
252,,8.0,41.899602111,-87.633308037,,22.0,41.92276062,-87.699155343,3,11.4,1980.0
253,,4.0,41.975170943,-87.687515515,,14.0,41.968069,-87.721559063,6,2.16,720.0
254,,6.0,41.944226601,-87.655998182,,8.0,41.899602111,-87.633308037,1,5.9,1020.0
255,,32.0,41.878865584,-87.625192142,,8.0,41.899602111,-87.633308037,5,1.9,360.0
256,,6.0,41.944226601,-87.655998182,,8.0,41.899602111,-87.633308037,3,0.3,840.0
257,,77.0,41.9867118,-87.663416405,,1.0,42.009622881,-87.670166857,27,1.7,720.0
258,,3.0,41.96581197,-87.655878786,,28.0,41.874005383,-87.66351755,0,0.0,1260.0
259,,22.0,41.92276062,-87.699155343,,6.0,41.944226601,-87.655998182,15,3.3,720.0
260,,7.0,41.922686284,-87.649488729,,8.0,41.899602111,-87.633308037,18,2.0,600.0
261,334.0,8.0,41.899155613,-87.626210532,,28.0,41.885300022,-87.642808466,21,1.8,420.0
262,,32.0,41.878865584,-87.625192142,,7.0,41.922686284,-87.649488729,3,5.1,600.0
263,,6.0,41.944226601,-87.655998182,,8.0,41.899602111,-87.633308037,2,3.4,540.0
264,,3.0,41.96581197,-87.655878786,,8.0,41.899602111,-87.633308037,0,5.9,900.0
265,,23.0,41.900069603,-87.720918238,,8.0,41.899602111,-87.633308037,2,4.3,1080.0
266,,44.0,41.740205756,-87.615969523,,14.0,41.968069,-87.721559063,4,19.5,1800.0
267,,5.0,41.947791586,-87.683834942,,1.0,42.009622881,-87.670166857,17,0.1,600.0
268,,24.0,41.901206994,-87.676355989,,8.0,41.899602111,-87.633308037,0,3.31,600.0
269,,22.0,41.92276062,-87.699155343,,24.0,41.901206994,-87.676355989,7,2.8,540.0
270,,32.0,41.878865584,-87.625192142,,8.0,41.899602111,-87.633308037,8,0.0,540.0
271,,4.0,41.975170943,-87.687515515,,32.0,41.878865584,-87.625192142,4,7.8,1020.0
272,,28.0,41.874005383,-87.66351755,,6.0,41.944226601,-87.655998182,22,3.3,840.0
273,,19.0,41.927260956,-87.765501609,,7.0,41.922686284,-87.649488729,7,5.2,1080.0
274,16.0,32.0,41.880994471,-87.632746489,,8.0,41.899155613,-87.626210532,4,2.0,480.0
275,,6.0,41.944226601,-87.655998182,,8.0,41.899602111,-87.633308037,2,3.2,600.0
276,,56.0,41.79259236,-87.769615453,,8.0,41.899602111,-87.633308037,3,13.5,1500.0
277,911.0,8.0,41.890922026,-87.618868355,,8.0,41.899155613,-87.626210532,1,1.1,480.0
